1,A,N
2,A(1),M
3,A'S,M
4,A.,M
5,A.'S,M
6,A.S,M
7,AA,HM
8,AAA,HNM
9,AABERG,MN
10,AACHEN,MN
11,AACHENER,MNN
12,AAH,M
13,AAKER,MN
14,AALIYAH,HMH
15,AALSETH,MN
16,AAMODT,MN
17,AANCOR,MH
18,AARDEMA,NMN
19,AARDVARK,MH
20,AARDVARKS,MH
21,AARGH,M
22,AARON,MN
23,AARON'S,MN
24,AARONS,MN
25,AARONSON,MNN
26,AARONSON(1),MNN
27,AARONSON'S,MNN
28,AARONSON'S(1),MNN
29,AARTI,MH
30,AASE,M
31,AASEN,MN
32,AB,M
33,ABA,HHM
34,ABABA,NMN
35,ABABA(1),MNN
36,ABACHA,MNN
37,ABACK,NM
38,ABACO,MNH
39,ABACUS,MNN
40,ABAD,NM
41,ABADAKA,NMNN
42,ABADI,NMN
43,ABADIE,NMN
44,ABAIR,NM
45,ABALKIN,NMN
46,ABALONE,HNMN
47,ABALONES,HNMN
48,ABALOS,NMN
49,ABANDON,NMN
50,ABANDONED,NMN
51,ABANDONING,NMNN
52,ABANDONMENT,NMNN
53,ABANDONMENTS,NMNN
54,ABANDONS,NMN
55,ABANTO,NMN
56,ABARCA,NMN
57,ABARE,NMN
58,ABASCAL,MNN
59,ABASH,NM
60,ABASHED,NM
61,ABASIA,NMN
62,ABATE,NM
63,ABATED,NMN
64,ABATEMENT,NMN
65,ABATEMENTS,NMN
66,ABATES,NM
67,ABATING,NMN
68,ABBA,MN
69,ABBADO,NMN
70,ABBAS,NM
71,ABBASI,NMN
72,ABBATE,MN
73,ABBATIELLO,NNNMN
74,ABBE,MN
75,ABBE(1),NM
76,ABBENHAUS,MNH
77,ABBETT,NM
78,ABBEVILLE,MN
79,ABBEY,MN
80,ABBEY'S,MN
81,ABBIE,MN
82,ABBITT,MN
83,ABBOT,MN
84,ABBOTSTOWN,MNM
85,ABBOTT,MN
86,ABBOTT'S,MN
87,ABBOTTSTOWN,MNM
88,ABBOUD,NM
89,ABBOUD(1),NM
90,ABBREVIATE,NMNH
91,ABBREVIATED,NMNHN
92,ABBREVIATES,NMNH
93,ABBREVIATING,NMNHN
94,ABBREVIATION,NHNMN
95,ABBREVIATIONS,NHNMN
96,ABBRUZZESE,NNMN
97,ABBS,M
98,ABBY,MN
99,ABC,MHH
100,ABC'S,MHH
101,ABCO,MN
102,ABCOTEK,MNH
103,ABCS,MHH
104,ABDALLA,HMN
105,ABDALLAH,HMN
106,ABDEL,MH
107,ABDELLA,HMN
108,ABDICATE,MNH
109,ABDICATED,MNHN
110,ABDICATES,MNH
111,ABDICATING,MNHN
112,ABDICATION,HNMN
113,ABDNOR,MN
114,ABDO,MN
115,ABDOLLAH,HMN
116,ABDOMEN,NMN
117,ABDOMEN(1),MNN
118,ABDOMINAL,NMNN
119,ABDOMINAL(1),NMNN
120,ABDUCT,NM
121,ABDUCTED,NMN
122,ABDUCTED(1),NMN
123,ABDUCTEE,NHM
124,ABDUCTEES,NHM
125,ABDUCTING,NMN
126,ABDUCTING(1),NMN
127,ABDUCTION,NMN
128,ABDUCTION(1),NMN
129,ABDUCTIONS,NMN
130,ABDUCTIONS(1),NMN
131,ABDUCTOR,NMN
132,ABDUCTOR(1),NMN
133,ABDUCTORS,NMN
134,ABDUCTORS(1),NMN
135,ABDUCTS,NM
136,ABDUL,NM
